"sound","dispWord","answer"
"entrance_lock","ロック音",
"entrance_lock_inside","ロック音",
"entrance_unlock","ロック音",
"entrance_unlock_inside","ロック音",
"386_lock","ロック音",
"386_unlock","ロック音",
"hikido_lock","ロック音",
"hikido_unlock","ロック音",
"iriguchi_lock","ロック音",
"iriguchi_unlock","ロック音",
"shiki_lock","ロック音",
"shiki_unlock","ロック音",
